date,station_key,station_id,station_name,attendance_station,attendance_line_total,move_intervals_count,movements_per_8h_station,movements_per_8h_line,avg_active_move_hours,line_avg_active_move_hours,cache_rows,cache_expected_rows,cache_complete
2026-01-29,20,20,Estacion 3 (Line 1),12,54,2,1.194841881264585,1.2295999447921162,6.695446590416666,6.506181163949653,7,7,True
2026-01-29,21,21,Estacion 3 (Line 2),12,54,1,1.1210721720377712,1.2295999447921162,7.136025850555556,6.506181163949653,7,7,True
2026-01-29,22,22,Estacion 3 (Line 3),12,54,2,1.095523201294802,1.2295999447921162,7.302446895277779,6.506181163949653,7,7,True
2026-01-29,23,23,Estacion 4 (Line 1),9,54,2,1.5094161426098032,1.2295999447921162,5.30006257,6.506181163949653,7,7,True
2026-01-29,24,24,Estacion 4 (Line 2),9,54,1,1.239365002565543,1.2295999447921162,6.454918432777777,6.506181163949653,7,7,True
2026-01-29,25,25,Estacion 4 (Line 3),9,54,2,1.624615162309711,1.2295999447921162,4.924243098055555,6.506181163949653,7,7,True
2026-01-29,26,26,Estacion 5 (Line 1),15,54,2,1.0406871221525558,1.2295999447921162,7.687228783472223,6.506181163949653,7,7,True
2026-01-29,27,27,Estacion 5 (Line 2),15,54,1,1.1056285781292596,1.2295999447921162,7.2357029822222225,6.506181163949653,7,7,True
2026-01-29,28,28,Estacion 5 (Line 3),15,54,2,1.549989204198718,1.2295999447921162,5.161326271388889,6.506181163949653,7,7,True
2026-01-29,29,29,Estacion 6 (Line 1),14,54,2,1.3834010288405951,1.2295999447921162,5.7828495376388895,6.506181163949653,7,7,True
2026-01-29,30,30,Estacion 6 (Line 2),14,54,1,1.1079252059708424,1.2295999447921162,7.220704030277778,6.506181163949653,7,7,True
2026-01-29,31,31,Estacion 6 (Line 3),14,54,2,1.5438753693967573,1.2295999447921162,5.18176541875,6.506181163949653,7,7,True
2026-01-30,11,11,Armado (Line 1),11,53,1,1.2171222738012581,1.2536138768166702,6.572881108333333,6.381550290680077,7,7,True
2026-01-30,12,12,Armado (Line 2),11,53,1,1.2969763633004718,1.2536138768166702,6.168192595,6.381550290680077,7,7,True
2026-01-30,13,13,Armado (Line 3),11,53,0,,1.2536138768166702,,6.381550290680077,7,7,True
2026-01-30,14,14,Estacion 1 (Line 1),16,53,1,1.0686082124978225,1.2536138768166702,7.486373309166667,6.381550290680077,7,7,True
2026-01-30,15,15,Estacion 1 (Line 2),16,53,2,1.1213585803277624,1.2536138768166702,7.134203224861111,6.381550290680077,7,7,True
2026-01-30,16,16,Estacion 1 (Line 3),16,53,1,1.1264335510826489,1.2536138768166702,7.1020611844444455,6.381550290680077,7,7,True
2026-01-30,17,17,Estacion 2 (Line 1),14,53,1,1.0835690321282816,1.2536138768166702,7.383009077222222,6.381550290680077,7,7,True
2026-01-30,18,18,Estacion 2 (Line 2),14,53,2,1.1249088853683245,1.2536138768166702,7.111687092222222,6.381550290680077,7,7,True
2026-01-30,19,19,Estacion 2 (Line 3),14,53,2,1.853881246074434,1.2536138768166702,4.315271011527778,6.381550290680077,7,7,True
2026-01-30,20,20,Estacion 3 (Line 1),12,53,1,1.083363818968633,1.2536138768166702,7.384407583055556,6.381550290680077,7,7,True
2026-01-30,21,21,Estacion 3 (Line 2),12,53,2,1.1542524564682197,1.2536138768166702,6.930892765416667,6.381550290680077,7,7,True
2026-01-30,22,22,Estacion 3 (Line 3),12,53,1,1.1281566298444123,1.2536138768166702,7.091213922222223,6.381550290680077,7,7,True
2026-01-30,23,23,Estacion 4 (Line 1),8,53,2,2.079259498211392,1.2536138768166702,3.8475236048611112,6.381550290680077,7,7,True
2026-01-30,24,24,Estacion 4 (Line 2),8,53,2,1.3026006207368492,1.2536138768166702,6.141560101111111,6.381550290680077,7,7,True
2026-01-30,25,25,Estacion 4 (Line 3),8,53,1,1.1329403122399764,1.2536138768166702,7.0612722608333325,6.381550290680077,7,7,True
2026-01-30,26,26,Estacion 5 (Line 1),14,53,2,1.6702542327491643,1.2536138768166702,4.789690002361111,6.381550290680077,7,7,True
2026-01-30,27,27,Estacion 5 (Line 2),14,53,2,1.3040842845030476,1.2536138768166702,6.134572814861112,6.381550290680077,7,7,True
2026-01-30,28,28,Estacion 5 (Line 3),14,53,1,1.0920528327120227,1.2536138768166702,7.325652899166666,6.381550290680077,7,7,True
2026-01-30,29,29,Estacion 6 (Line 1),13,53,1,1.0173396713074883,1.2536138768166702,7.863646946666667,6.381550290680077,7,7,True
2026-01-30,30,30,Estacion 6 (Line 2),13,53,2,1.3288669298812945,1.2536138768166702,6.02016636888889,6.381550290680077,7,7,True
2026-01-30,31,31,Estacion 6 (Line 3),13,53,1,0.9116691123045821,1.2536138768166702,8.77511357138889,6.381550290680077,7,7,True
2026-02-02,11,11,Armado (Line 1),9,47,1,1.4492364734524699,0.8076864314851867,5.520148123888888,9.904833965440613,7,7,True
2026-02-02,12,12,Armado (Line 2),9,47,0,,0.8076864314851867,,9.904833965440613,7,7,True
2026-02-02,13,13,Armado (Line 3),9,47,1,0.675796433319241,0.8076864314851867,11.83788431777778,9.904833965440613,7,7,True
2026-02-02,14,14,Estacion 1 (Line 1),16,47,2,0.9571627029552899,0.8076864314851867,8.35803565611111,9.904833965440613,7,7,True
2026-02-02,15,15,Estacion 1 (Line 2),16,47,1,0.7247671877409774,0.8076864314851867,11.038027293888888,9.904833965440613,7,7,True
2026-02-02,16,16,Estacion 1 (Line 3),16,47,2,0.9324635201958756,0.8076864314851867,8.579424102638889,9.904833965440613,7,7,True
2026-02-02,17,17,Estacion 2 (Line 1),12,47,2,0.8930440089798425,0.8076864314851867,8.958125153472222,9.904833965440613,7,7,True
2026-02-02,18,18,Estacion 2 (Line 2),12,47,1,0.7374602621906298,0.8076864314851867,10.84804213888889,9.904833965440613,7,7,True
2026-02-02,19,19,Estacion 2 (Line 3),12,47,1,1.491432512770691,0.8076864314851867,5.363970499166666,9.904833965440613,7,7,True
2026-02-02,20,20,Estacion 3 (Line 1),11,47,2,0.8238733231613461,0.8076864314851867,9.710230656944445,9.904833965440613,7,7,True
2026-02-02,21,21,Estacion 3 (Line 2),11,47,1,0.7374322721515385,0.8076864314851867,10.848453888055555,9.904833965440613,7,7,True
2026-02-02,22,22,Estacion 3 (Line 3),11,47,2,0.5482540903005684,0.8076864314851867,14.591774400833334,9.904833965440613,7,7,True
2026-02-02,23,23,Estacion 4 (Line 1),7,47,1,1.7051359528343775,0.8076864314851867,4.6917080052777775,9.904833965440613,7,7,True
2026-02-02,24,24,Estacion 4 (Line 2),7,47,1,0.8175727978688933,0.8076864314851867,9.785061368055555,9.904833965440613,7,7,True
2026-02-02,25,25,Estacion 4 (Line 3),7,47,2,0.9434648098445553,0.8076864314851867,8.479383562083333,9.904833965440613,7,7,True
2026-02-02,26,26,Estacion 5 (Line 1),14,47,1,0.5295287124847923,0.8076864314851867,15.107773783333334,9.904833965440613,7,7,True
2026-02-02,27,27,Estacion 5 (Line 2),14,47,1,0.6749967972825789,0.8076864314851867,11.85190808638889,9.904833965440613,7,7,True
2026-02-02,28,28,Estacion 5 (Line 3),14,47,2,0.9393465388205877,0.8076864314851867,8.516558766527776,9.904833965440613,7,7,True
2026-02-02,29,29,Estacion 6 (Line 1),12,47,2,0.5905268426187046,0.8076864314851867,13.547224990694444,9.904833965440613,7,7,True
2026-02-02,30,30,Estacion 6 (Line 2),12,47,1,0.6783605059544542,0.8076864314851867,11.793139384999998,9.904833965440613,7,7,True
2026-02-02,31,31,Estacion 6 (Line 3),12,47,2,0.9371767364738584,0.8076864314851867,8.536276764722224,9.904833965440613,7,7,True
2026-02-03,11,11,Armado (Line 1),9,52,1,1.6087858841312808,1.3610129485834028,4.9726940538888895,5.877974936481481,7,7,True
2026-02-03,12,12,Armado (Line 2),9,52,1,1.1587191151924663,1.3610129485834028,6.904175390833333,5.877974936481481,7,7,True
2026-02-03,13,13,Armado (Line 3),9,52,1,1.1564403404003634,1.3610129485834028,6.917780122777777,5.877974936481481,7,7,True
2026-02-03,14,14,Estacion 1 (Line 1),16,52,2,1.3332459518998512,1.3610129485834028,6.000393242222222,5.877974936481481,7,7,True
2026-02-03,15,15,Estacion 1 (Line 2),16,52,2,1.377440956342131,1.3610129485834028,5.807871446805555,5.877974936481481,7,7,True
